model,dataset,low_fraction,pattern,n,error_n,hallucination_n,error_rate,hallucination_rate,severe_low_uq_n
qwen,vilp,0.2,perplexity=not_low|semantic_entropy=low|umpire=not_low,96,17,15,0.17708333333333334,0.15625,8
qwen,vilp,0.2,perplexity=not_low|semantic_entropy=not_low|umpire=low,48,11,6,0.22916666666666666,0.125,4
qwen,vilp,0.2,perplexity=not_low|semantic_entropy=not_low|umpire=not_low,535,222,124,0.41495327102803736,0.23177570093457944,94
qwen,hallusionbench,0.2,perplexity=low|semantic_entropy=low|umpire=low,50,8,9,0.16,0.18,6
qwen,hallusionbench,0.2,perplexity=low|semantic_entropy=low|umpire=not_low,20,2,6,0.1,0.3,2
qwen,hallusionbench,0.2,perplexity=low|semantic_entropy=not_low|umpire=low,38,8,14,0.21052631578947367,0.3684210526315789,8
qwen,hallusionbench,0.2,perplexity=low|semantic_entropy=not_low|umpire=not_low,115,45,61,0.391304347826087,0.5304347826086957,35
qwen,hallusionbench,0.2,perplexity=not_low|semantic_entropy=low|umpire=low,62,21,27,0.3387096774193548,0.43548387096774194,16
qwen,hallusionbench,0.2,perplexity=not_low|semantic_entropy=low|umpire=not_low,91,36,42,0.3956043956043956,0.46153846153846156,30
qwen,hallusionbench,0.2,perplexity=not_low|semantic_entropy=not_low|umpire=low,73,17,19,0.2328767123287671,0.2602739726027397,14
qwen,hallusionbench,0.2,perplexity=not_low|semantic_entropy=not_low|umpire=not_low,664,328,341,0.4939759036144578,0.5135542168674698,256
qwen,mmvet,0.2,perplexity=low|semantic_entropy=low|umpire=low,16,0,5,0.0,0.3125,0
qwen,mmvet,0.2,perplexity=low|semantic_entropy=low|umpire=not_low,6,2,2,0.3333333333333333,0.3333333333333333,2
qwen,mmvet,0.2,perplexity=low|semantic_entropy=not_low|umpire=low,11,4,3,0.36363636363636365,0.2727272727272727,3
qwen,mmvet,0.2,perplexity=low|semantic_entropy=not_low|umpire=not_low,10,4,2,0.4,0.2,1
qwen,mmvet,0.2,perplexity=not_low|semantic_entropy=low|umpire=low,12,2,3,0.16666666666666666,0.25,2
qwen,mmvet,0.2,perplexity=not_low|semantic_entropy=low|umpire=not_low,9,4,2,0.4444444444444444,0.2222222222222222,1
qwen,mmvet,0.2,perplexity=not_low|semantic_entropy=not_low|umpire=low,4,1,2,0.25,0.5,1
qwen,mmvet,0.2,perplexity=not_low|semantic_entropy=not_low|umpire=not_low,145,94,47,0.6482758620689655,0.32413793103448274,39
internvl,vilp,0.2,perplexity=low|semantic_entropy=low|umpire=low,46,5,4,0.10869565217391304,0.08695652173913043,3
internvl,vilp,0.2,perplexity=low|semantic_entropy=low|umpire=not_low,7,0,1,0.0,0.14285714285714285,0
internvl,vilp,0.2,perplexity=low|semantic_entropy=not_low|umpire=low,50,5,9,0.1,0.18,4
internvl,vilp,0.2,perplexity=low|semantic_entropy=not_low|umpire=not_low,77,28,25,0.36363636363636365,0.3246753246753247,21
internvl,vilp,0.2,perplexity=not_low|semantic_entropy=low|umpire=low,35,7,3,0.2,0.08571428571428572,3
internvl,vilp,0.2,perplexity=not_low|semantic_entropy=low|umpire=not_low,92,18,19,0.1956521739130435,0.20652173913043478,14
internvl,vilp,0.2,perplexity=not_low|semantic_entropy=not_low|umpire=low,49,15,11,0.30612244897959184,0.22448979591836735,10
internvl,vilp,0.2,perplexity=not_low|semantic_entropy=not_low|umpire=not_low,542,250,176,0.4612546125461255,0.3247232472324723,138
internvl,hallusionbench,0.2,perplexity=low|semantic_entropy=low|umpire=low,69,7,12,0.10144927536231885,0.17391304347826086,6
internvl,hallusionbench,0.2,perplexity=low|semantic_entropy=low|umpire=not_low,14,5,4,0.35714285714285715,0.2857142857142857,4
internvl,hallusionbench,0.2,perplexity=low|semantic_entropy=not_low|umpire=low,69,5,9,0.07246376811594203,0.13043478260869565,5
internvl,hallusionbench,0.2,perplexity=low|semantic_entropy=not_low|umpire=not_low,73,22,36,0.3013698630136986,0.4931506849315068,16
internvl,hallusionbench,0.2,perplexity=not_low|semantic_entropy=low|umpire=low,28,8,10,0.2857142857142857,0.35714285714285715,5
internvl,hallusionbench,0.2,perplexity=not_low|semantic_entropy=low|umpire=not_low,114,36,44,0.3157894736842105,0.38596491228070173,28
internvl,hallusionbench,0.2,perplexity=not_low|semantic_entropy=not_low|umpire=low,59,12,21,0.2033898305084746,0.3559322033898305,12
internvl,hallusionbench,0.2,perplexity=not_low|semantic_entropy=not_low|umpire=not_low,696,343,362,0.492816091954023,0.5201149425287356,278
internvl,mmvet,0.2,perplexity=low|semantic_entropy=low|umpire=low,25,2,1,0.08,0.04,0
internvl,mmvet,0.2,perplexity=low|semantic_entropy=low|umpire=not_low,2,0,0,0.0,0.0,0
internvl,mmvet,0.2,perplexity=low|semantic_entropy=not_low|umpire=low,4,0,0,0.0,0.0,0
internvl,mmvet,0.2,perplexity=low|semantic_entropy=not_low|umpire=not_low,11,5,4,0.45454545454545453,0.36363636363636365,4
internvl,mmvet,0.2,perplexity=not_low|semantic_entropy=low|umpire=low,4,1,1,0.25,0.25,1
internvl,mmvet,0.2,perplexity=not_low|semantic_entropy=low|umpire=not_low,11,4,3,0.36363636363636365,0.2727272727272727,1
internvl,mmvet,0.2,perplexity=not_low|semantic_entropy=not_low|umpire=low,9,0,0,0.0,0.0,0
internvl,mmvet,0.2,perplexity=not_low|semantic_entropy=not_low|umpire=not_low,140,70,49,0.5,0.35,41
