model,dataset,method,low_fraction,sample_id,group_id,uq_score,correct,error,hallucination,quadrant,rating
llava,vilp,perplexity,0.2,vilp-55-case1,vilp-55,1.000158816457738,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-130-case1,vilp-130,1.0001731968549885,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-247-case3,vilp-247,1.000173517541333,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-9-case3,vilp-9,1.0001782749625292,0,1,0,wrong_clean,4
llava,vilp,perplexity,0.2,vilp-150-case3,vilp-150,1.0001870553454808,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-103-case3,vilp-103,1.0001885184678336,0,1,0,wrong_clean,5
llava,vilp,perplexity,0.2,vilp-56-case1,vilp-56,1.000191967128255,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-115-case2,vilp-115,1.00019298839721,0,1,0,wrong_clean,4
llava,vilp,perplexity,0.2,vilp-266-case3,vilp-266,1.0001946735135967,0,1,1,wrong_hallucination,0
llava,vilp,perplexity,0.2,vilp-231-case3,vilp-231,1.00019471071708,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-121-case3,vilp-121,1.000195264814968,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-220-case2,vilp-220,1.0001993107253104,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-80-case1,vilp-80,1.0001998420071492,1,0,1,correct_hallucination,2
llava,vilp,perplexity,0.2,vilp-9-case2,vilp-9,1.0002069427138875,0,1,0,wrong_clean,4
llava,vilp,perplexity,0.2,vilp-79-case3,vilp-79,1.0002072981488979,1,0,1,correct_hallucination,2
llava,vilp,perplexity,0.2,vilp-134-case2,vilp-134,1.0002084291735658,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-141-case3,vilp-141,1.0002090930938097,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-240-case1,vilp-240,1.0002138566432002,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-44-case2,vilp-44,1.0002215635221643,0,1,0,wrong_clean,4
llava,vilp,perplexity,0.2,vilp-6-case3,vilp-6,1.0002222651918706,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-44-case1,vilp-44,1.0002243841349183,1,0,1,correct_hallucination,2
llava,vilp,perplexity,0.2,vilp-187-case2,vilp-187,1.0002292162637878,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-269-case1,vilp-269,1.0002334781891726,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-41-case3,vilp-41,1.0002368684000258,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-44-case3,vilp-44,1.0002426534331474,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-218-case1,vilp-218,1.0002501260817886,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-79-case2,vilp-79,1.0002608577825505,1,0,1,correct_hallucination,1
llava,vilp,perplexity,0.2,vilp-9-case1,vilp-9,1.0002680336188066,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-218-case2,vilp-218,1.0002741212142114,1,0,1,correct_hallucination,2
llava,vilp,perplexity,0.2,vilp-285-case2,vilp-285,1.0002763271202602,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-256-case1,vilp-256,1.0002805122189227,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-140-case1,vilp-140,1.0002836823325802,1,0,1,correct_hallucination,2
llava,vilp,perplexity,0.2,vilp-280-case1,vilp-280,1.0002945798693188,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-99-case2,vilp-99,1.000301241866044,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-221-case1,vilp-221,1.0003038644778501,0,1,1,wrong_hallucination,2
llava,vilp,perplexity,0.2,vilp-240-case3,vilp-240,1.0003139951766655,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-228-case3,vilp-228,1.0003209987324408,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-6-case1,vilp-6,1.0003275035178536,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-26-case3,vilp-26,1.0003304757729923,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-171-case2,vilp-171,1.0003371778853785,1,0,1,correct_hallucination,1
llava,vilp,perplexity,0.2,vilp-11-case2,vilp-11,1.0003380932213306,1,0,1,correct_hallucination,2
llava,vilp,perplexity,0.2,vilp-41-case1,vilp-41,1.0003427167509418,1,0,0,correct_clean,5
llava,vilp,perplexity,0.2,vilp-114-case1,vilp-114,1.0003466606166163,1,0,1,correct_hallucination,2
llava,vilp,perplexity,0.2,vilp-147-case3,vilp-147,1.0003496258154954,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-10-case1,vilp-10,1.0003510331265733,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-81-case2,vilp-81,1.0003572285521538,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-23-case3,vilp-23,1.0003583095503457,1,0,1,correct_hallucination,1
llava,vilp,perplexity,0.2,vilp-247-case1,vilp-247,1.0003610811433548,1,0,1,correct_hallucination,2
llava,vilp,perplexity,0.2,vilp-150-case1,vilp-150,1.0003621345255738,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-150-case2,vilp-150,1.000363045220448,1,0,0,correct_clean,5
llava,vilp,perplexity,0.2,vilp-242-case3,vilp-242,1.0003687618291177,0,1,0,wrong_clean,4
llava,vilp,perplexity,0.2,vilp-90-case1,vilp-90,1.0003715753673785,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-280-case3,vilp-280,1.0003744277168114,0,1,1,wrong_hallucination,0
llava,vilp,perplexity,0.2,vilp-22-case1,vilp-22,1.0003809722141987,1,0,0,correct_clean,5
llava,vilp,perplexity,0.2,vilp-11-case3,vilp-11,1.0003819396086235,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-134-case1,vilp-134,1.000385350761588,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-37-case2,vilp-37,1.0003877878139762,1,0,0,correct_clean,5
llava,vilp,perplexity,0.2,vilp-101-case2,vilp-101,1.00040213168082,0,1,1,wrong_hallucination,0
llava,vilp,perplexity,0.2,vilp-136-case2,vilp-136,1.0004050665183686,0,1,0,wrong_clean,4
llava,vilp,perplexity,0.2,vilp-187-case1,vilp-187,1.000410009662168,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-81-case3,vilp-81,1.0004116421934475,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-178-case1,vilp-178,1.0004125610228933,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-26-case2,vilp-26,1.0004173654924686,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-280-case2,vilp-280,1.0004214143140369,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-101-case1,vilp-101,1.0004236650433511,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-80-case2,vilp-80,1.0004236822723827,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-135-case2,vilp-135,1.0004252656177643,0,1,1,wrong_hallucination,2
llava,vilp,perplexity,0.2,vilp-147-case2,vilp-147,1.0004275331250483,0,1,0,wrong_clean,5
llava,vilp,perplexity,0.2,vilp-234-case1,vilp-234,1.0004281731750957,1,0,1,correct_hallucination,2
llava,vilp,perplexity,0.2,vilp-92-case3,vilp-92,1.0004348934090554,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-231-case1,vilp-231,1.000435392934855,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-206-case3,vilp-206,1.0004356125357536,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-122-case3,vilp-122,1.0004357099397296,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-161-case1,vilp-161,1.0004487733299356,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-243-case2,vilp-243,1.0004496662204359,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-281-case1,vilp-281,1.0004516483294104,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-17-case2,vilp-17,1.0004557371172085,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-115-case3,vilp-115,1.0004564372707392,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-157-case2,vilp-157,1.0004564804896372,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-229-case3,vilp-229,1.000469342993313,0,1,1,wrong_hallucination,0
llava,vilp,perplexity,0.2,vilp-1-case2,vilp-1,1.0004703584311132,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-165-case1,vilp-165,1.0004793143598782,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-271-case1,vilp-271,1.0004796711453365,1,0,1,correct_hallucination,2
llava,vilp,perplexity,0.2,vilp-258-case1,vilp-258,1.0004804939634846,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-109-case1,vilp-109,1.0004841185001145,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-297-case2,vilp-297,1.0004846634562428,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-26-case1,vilp-26,1.0004872386053834,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-10-case3,vilp-10,1.000500514266195,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-242-case2,vilp-242,1.0005092504389672,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-128-case2,vilp-128,1.0005109309942368,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-148-case1,vilp-148,1.0005131166171652,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-136-case3,vilp-136,1.0005157324465217,0,1,1,wrong_hallucination,2
llava,vilp,perplexity,0.2,vilp-246-case1,vilp-246,1.0005305686881298,1,0,1,correct_hallucination,2
llava,vilp,perplexity,0.2,vilp-240-case2,vilp-240,1.0005334592579542,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-97-case2,vilp-97,1.0005407082755344,1,0,1,correct_hallucination,1
llava,vilp,perplexity,0.2,vilp-232-case2,vilp-232,1.0005410862489523,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-8-case3,vilp-8,1.0005444780435588,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-136-case1,vilp-136,1.000552772588119,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-156-case3,vilp-156,1.0005532785129292,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-199-case1,vilp-199,1.0005539765756943,0,1,1,wrong_hallucination,2
llava,vilp,perplexity,0.2,vilp-242-case1,vilp-242,1.0005552084940863,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-257-case3,vilp-257,1.0005630543581046,1,0,0,correct_clean,5
llava,vilp,perplexity,0.2,vilp-95-case3,vilp-95,1.000563848730653,1,0,0,correct_clean,5
llava,vilp,perplexity,0.2,vilp-97-case1,vilp-97,1.0005900504178942,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-8-case2,vilp-8,1.0005942547508586,0,1,1,wrong_hallucination,0
llava,vilp,perplexity,0.2,vilp-118-case1,vilp-118,1.000594423459374,1,0,0,correct_clean,5
llava,vilp,perplexity,0.2,vilp-125-case3,vilp-125,1.0005983114108161,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-37-case1,vilp-37,1.0005990266870572,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-229-case1,vilp-229,1.0006044761659292,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-271-case2,vilp-271,1.000608631184612,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-273-case2,vilp-273,1.0006107179234407,0,1,1,wrong_hallucination,0
llava,vilp,perplexity,0.2,vilp-256-case3,vilp-256,1.0006198759919755,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-231-case2,vilp-231,1.0006201223761375,0,1,1,wrong_hallucination,0
llava,vilp,perplexity,0.2,vilp-256-case2,vilp-256,1.0006205560383132,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-17-case3,vilp-17,1.0006226061978793,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-246-case3,vilp-246,1.0006286336580605,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-145-case1,vilp-145,1.0006315719165362,1,0,1,correct_hallucination,2
llava,vilp,perplexity,0.2,vilp-214-case1,vilp-214,1.0006347894619578,1,0,0,correct_clean,5
llava,vilp,perplexity,0.2,vilp-18-case3,vilp-18,1.0006349619242645,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-148-case3,vilp-148,1.0006356160698118,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-292-case1,vilp-292,1.0006364946907593,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-135-case1,vilp-135,1.0006423761388217,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-273-case1,vilp-273,1.0006434417797143,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-13-case2,vilp-13,1.0006458267114968,1,0,1,correct_hallucination,2
llava,vilp,perplexity,0.2,vilp-296-case1,vilp-296,1.0006469487972172,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-216-case1,vilp-216,1.0006615933973448,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-196-case1,vilp-196,1.0006747245693948,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-121-case2,vilp-121,1.000674878415944,1,0,1,correct_hallucination,2
llava,vilp,perplexity,0.2,vilp-91-case2,vilp-91,1.0006837672284927,1,0,1,correct_hallucination,2
llava,vilp,perplexity,0.2,vilp-196-case3,vilp-196,1.000694036468811,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-58-case3,vilp-58,1.000699756028865,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-273-case3,vilp-273,1.0006998309369828,1,0,1,correct_hallucination,2
llava,vilp,perplexity,0.2,vilp-281-case2,vilp-281,1.0007060247314292,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-244-case2,vilp-244,1.0007217566711766,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-97-case3,vilp-97,1.000729366648809,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-90-case3,vilp-90,1.0007356405439018,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-254-case1,vilp-254,1.000737043810801,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-8-case1,vilp-8,1.0007432177864877,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-285-case3,vilp-285,1.00074561674345,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-160-case2,vilp-160,1.0007465708933345,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-291-case1,vilp-291,1.0007502020459924,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-146-case2,vilp-146,1.000757940743846,1,0,0,correct_clean,5
llava,vilp,perplexity,0.2,vilp-11-case1,vilp-11,1.0007604736336069,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-257-case1,vilp-257,1.0007653132548635,1,0,0,correct_clean,5
llava,vilp,perplexity,0.2,vilp-105-case1,vilp-105,1.0007707652072562,1,0,1,correct_hallucination,1
llava,vilp,perplexity,0.2,vilp-149-case1,vilp-149,1.0007720062607846,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-144-case3,vilp-144,1.0007813987115828,1,0,1,correct_hallucination,2
llava,vilp,perplexity,0.2,vilp-148-case2,vilp-148,1.000808871883181,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-92-case1,vilp-92,1.0008157997068872,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-283-case1,vilp-283,1.0008191972711407,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-43-case3,vilp-43,1.0008257627555601,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-260-case2,vilp-260,1.0008295774643214,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-147-case1,vilp-147,1.0008306413058936,1,0,1,correct_hallucination,2
llava,vilp,perplexity,0.2,vilp-99-case1,vilp-99,1.000831127190268,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-14-case1,vilp-14,1.0008369684238205,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-140-case2,vilp-140,1.0008518051518256,1,0,1,correct_hallucination,2
llava,vilp,perplexity,0.2,vilp-263-case2,vilp-263,1.000856228278742,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-250-case3,vilp-250,1.0008628073547299,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-132-case3,vilp-132,1.0008684868905835,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-283-case2,vilp-283,1.0008702463023147,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-259-case3,vilp-259,1.0008888061501597,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-100-case1,vilp-100,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-101-case1,vilp-101,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-101-case2,vilp-101,-0.0,0,1,1,wrong_hallucination,0
llava,vilp,semantic_entropy,0.2,vilp-102-case1,vilp-102,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-103-case1,vilp-103,-0.0,1,0,1,correct_hallucination,1
llava,vilp,semantic_entropy,0.2,vilp-106-case1,vilp-106,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-107-case1,vilp-107,-0.0,0,1,0,wrong_clean,4
llava,vilp,semantic_entropy,0.2,vilp-107-case3,vilp-107,-0.0,0,1,1,wrong_hallucination,1
llava,vilp,semantic_entropy,0.2,vilp-11-case1,vilp-11,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-11-case2,vilp-11,-0.0,1,0,1,correct_hallucination,2
llava,vilp,semantic_entropy,0.2,vilp-114-case1,vilp-114,-0.0,1,0,1,correct_hallucination,2
llava,vilp,semantic_entropy,0.2,vilp-115-case1,vilp-115,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-118-case1,vilp-118,-0.0,1,0,0,correct_clean,5
llava,vilp,semantic_entropy,0.2,vilp-12-case1,vilp-12,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-120-case2,vilp-120,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-120-case3,vilp-120,-0.0,1,0,1,correct_hallucination,2
llava,vilp,semantic_entropy,0.2,vilp-121-case2,vilp-121,-0.0,1,0,1,correct_hallucination,2
llava,vilp,semantic_entropy,0.2,vilp-122-case2,vilp-122,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-122-case3,vilp-122,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-123-case1,vilp-123,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-123-case3,vilp-123,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-124-case1,vilp-124,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-125-case2,vilp-125,-0.0,0,1,1,wrong_hallucination,2
llava,vilp,semantic_entropy,0.2,vilp-126-case3,vilp-126,-0.0,0,1,0,wrong_clean,4
llava,vilp,semantic_entropy,0.2,vilp-127-case1,vilp-127,-0.0,1,0,1,correct_hallucination,1
llava,vilp,semantic_entropy,0.2,vilp-128-case1,vilp-128,-0.0,0,1,1,wrong_hallucination,2
llava,vilp,semantic_entropy,0.2,vilp-128-case2,vilp-128,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-130-case1,vilp-130,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-131-case1,vilp-131,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-131-case2,vilp-131,-0.0,0,1,1,wrong_hallucination,1
llava,vilp,semantic_entropy,0.2,vilp-131-case3,vilp-131,-0.0,0,1,1,wrong_hallucination,1
llava,vilp,semantic_entropy,0.2,vilp-133-case1,vilp-133,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-133-case2,vilp-133,-0.0,0,1,1,wrong_hallucination,1
llava,vilp,semantic_entropy,0.2,vilp-134-case1,vilp-134,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-135-case1,vilp-135,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-136-case3,vilp-136,-0.0,0,1,1,wrong_hallucination,2
llava,vilp,semantic_entropy,0.2,vilp-138-case1,vilp-138,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-138-case2,vilp-138,-0.0,0,1,1,wrong_hallucination,0
llava,vilp,semantic_entropy,0.2,vilp-139-case1,vilp-139,-0.0,1,0,1,correct_hallucination,2
llava,vilp,semantic_entropy,0.2,vilp-140-case2,vilp-140,-0.0,1,0,1,correct_hallucination,2
llava,vilp,semantic_entropy,0.2,vilp-141-case1,vilp-141,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-142-case1,vilp-142,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-143-case1,vilp-143,-0.0,1,0,1,correct_hallucination,2
llava,vilp,semantic_entropy,0.2,vilp-144-case3,vilp-144,-0.0,1,0,1,correct_hallucination,2
llava,vilp,semantic_entropy,0.2,vilp-146-case1,vilp-146,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-146-case2,vilp-146,-0.0,1,0,0,correct_clean,5
llava,vilp,semantic_entropy,0.2,vilp-147-case1,vilp-147,-0.0,1,0,1,correct_hallucination,2
llava,vilp,semantic_entropy,0.2,vilp-147-case3,vilp-147,-0.0,0,1,1,wrong_hallucination,1
llava,vilp,semantic_entropy,0.2,vilp-148-case1,vilp-148,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-150-case1,vilp-150,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-150-case2,vilp-150,-0.0,1,0,0,correct_clean,5
llava,vilp,semantic_entropy,0.2,vilp-150-case3,vilp-150,-0.0,0,1,1,wrong_hallucination,1
llava,vilp,semantic_entropy,0.2,vilp-153-case1,vilp-153,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-153-case2,vilp-153,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-155-case1,vilp-155,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-156-case3,vilp-156,-0.0,0,1,1,wrong_hallucination,1
llava,vilp,semantic_entropy,0.2,vilp-160-case1,vilp-160,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-160-case2,vilp-160,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-161-case1,vilp-161,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-163-case3,vilp-163,-0.0,0,1,1,wrong_hallucination,0
llava,vilp,semantic_entropy,0.2,vilp-165-case1,vilp-165,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-168-case2,vilp-168,-0.0,0,1,1,wrong_hallucination,1
llava,vilp,semantic_entropy,0.2,vilp-172-case1,vilp-172,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-175-case1,vilp-175,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-176-case3,vilp-176,-0.0,0,1,1,wrong_hallucination,1
llava,vilp,semantic_entropy,0.2,vilp-177-case1,vilp-177,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-177-case2,vilp-177,-0.0,0,1,1,wrong_hallucination,1
llava,vilp,semantic_entropy,0.2,vilp-178-case2,vilp-178,-0.0,0,1,1,wrong_hallucination,1
llava,vilp,semantic_entropy,0.2,vilp-184-case2,vilp-184,-0.0,0,1,1,wrong_hallucination,1
llava,vilp,semantic_entropy,0.2,vilp-19-case1,vilp-19,-0.0,1,0,1,correct_hallucination,1
llava,vilp,semantic_entropy,0.2,vilp-197-case1,vilp-197,-0.0,1,0,0,correct_clean,6
llava,vilp,semantic_entropy,0.2,vilp-20-case1,vilp-20,-0.0,0,1,0,wrong_clean,4
llava,vilp,semantic_entropy,0.2,vilp-202-case2,vilp-202,-0.0,0,1,1,wrong_hallucination,1
llava,vilp,semantic_entropy,0.2,vilp-205-case1,vilp-205,-0.0,0,1,1,wrong_hallucination,1
llava,vilp,semantic_entropy,0.2,vilp-205-case2,vilp-205,-0.0,0,1,0,wrong_clean,4
